x_k,y_k,theta_k,Delta_k,delta_k
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
2.6245007514953613,-0.37992194294929504,1.5122418207382244,0.0,0.0
2.6246869564056396,-0.37814006209373474,1.515986078344763,0.0,0.0
2.623567581176758,-0.3747112452983856,1.515036228159388,0.0,0.0
2.623730182647705,-0.3718060851097107,1.5185624206228157,0.0,0.0
2.6196322441101074,-0.3707856833934784,1.503754021698,0.0,0.0
2.623384714126587,-0.36563533544540405,1.5151088420737853,0.0,0.0
2.6230151653289795,-0.3630366325378418,1.5189948635852701,0.0,0.0
2.6233484745025635,-0.3592131733894348,1.5174139612767892,0.0,0.0
2.6228978633880615,-0.3564571738243103,1.5210152760461397,0.0,0.0
2.6231024265289307,-0.3517393469810486,1.5139751486785507,0.0,0.0
2.618420124053955,-0.3515315055847168,1.5541695892937115,0.0,0.0
2.62320876121521,-0.34426233172416687,1.510508776068496,0.0,0.0
2.6239235401153564,-0.34005770087242126,1.5113474991987874,0.0,0.0
2.6237103939056396,-0.3366771638393402,1.513752520145575,0.0,0.0
2.6212875843048096,-0.33255302906036377,1.532972479195298,0.0,0.0
2.623199224472046,-0.3292689323425293,1.5097981969812473,0.0,0.0
2.62282133102417,-0.3249165713787079,1.5232643550261975,0.0,0.0
2.6235835552215576,-0.3192391097545624,1.5120354616696616,0.0,0.0
2.62326979637146,-0.3158119320869446,1.510492285362826,0.0,0.0
2.62103271484375,-0.3115212321281433,1.5264032011292317,-0.005876404047012329,0.0
2.6233296394348145,-0.3061920702457428,1.513435249491197,-0.005876404047012329,0.0
2.623361349105835,-0.3018571436405182,1.514605937734432,-0.005876404047012329,0.0
2.623628616333008,-0.2964399755001068,1.512105283413711,-0.005876404047012329,0.0
2.6224193572998047,-0.2929549515247345,1.5190755269564253,-0.005876404047012329,0.0
2.622509241104126,-0.2874111533164978,1.5115073053847674,-0.005876404047012329,0.0
2.622389793395996,-0.28262820839881897,1.5137957348101172,-0.005876404047012329,0.0
2.622739791870117,-0.2776242196559906,1.5120372583178068,-0.005876404047012329,0.0
2.619473457336426,-0.2736651301383972,1.5009921627421916,-0.005876404047012329,0.0
2.6227352619171143,-0.26645922660827637,1.5164956716175455,-0.005876404047012329,0.0
2.6226718425750732,-0.2613038718700409,1.520756021955417,-0.005876404047012329,0.0
2.622715473175049,-0.2559222877025604,1.5177490542478778,-0.005876404047012329,0.0
2.6220901012420654,-0.25046539306640625,1.5197166127499162,-0.005876404047012329,0.0
2.6219708919525146,-0.24462246894836426,1.513474333761964,-0.005876404047012329,0.0
2.6221132278442383,-0.23849670588970184,1.515526985850326,-0.005876404047012329,0.0
2.6217827796936035,-0.2330775260925293,1.5226144156661554,-0.005876404047012329,0.0
2.619468927383423,-0.2278706431388855,1.4974496842421312,-0.005876404047012329,0.0
2.62192702293396,-0.22057004272937775,1.5208003375661654,-0.005876404047012329,0.0
2.621488094329834,-0.2150491178035736,1.5268991051580183,-0.005876404047012329,0.0
2.6210789680480957,-0.209211066365242,1.5210975711261712,-0.005876404047012329,0.0
2.621187448501587,-0.20303604006767273,1.517997196412003,-0.005876404047012329,0.0
2.620659351348877,-0.19751259684562683,1.5175474961122133,-0.005876404047012329,0.0
2.6213033199310303,-0.1905106008052826,1.5218295108105946,-0.005876404047012329,0.0
2.6194612979888916,-0.18466049432754517,1.5334318532415956,-0.005876404047012329,0.0
2.6209359169006348,-0.17806513607501984,1.5213603817149743,-0.005876404047012329,0.0
2.620368242263794,-0.17188921570777893,1.5201946469544103,-0.005876404047012329,0.0
2.6186578273773193,-0.16574160754680634,1.5298423449038763,-0.005876404047012329,0.0
2.6195666790008545,-0.16139188408851624,1.531807884357358,-0.005876404047012329,0.0
2.6195666790008545,-0.16139188408851624,1.531807884357358,-0.005876404047012329,0.0
2.6195666790008545,-0.16139188408851624,1.531807884357358,-0.005876404047012329,0.0
2.614969491958618,-0.14368505775928497,1.5776476650354414,-0.005876404047012329,0.0
2.6186375617980957,-0.1337599754333496,1.5335283895317615,-0.005876404047012329,0.0
2.6189117431640625,-0.12645874917507172,1.5248568222591552,-0.005876404047012329,0.0
2.6186330318450928,-0.12031543254852295,1.5252904498127637,-0.005876404047012329,0.0
2.6192352771759033,-0.11297607421875,1.5231634726305407,-0.005876404047012329,0.0
2.6184020042419434,-0.10696546733379364,1.520654262192503,-0.005876404047012329,0.0
2.618711233139038,-0.09940807521343231,1.5205877955016929,-0.005876404047012329,0.0
2.6178135871887207,-0.09256503731012344,1.528742864501923,-0.005876404047012329,0.0
2.6185641288757324,-0.0845206007361412,1.5260901995318032,-0.005876404047012329,0.0
2.6174397468566895,-0.07956528663635254,1.515913825503458,-0.005876404047012329,0.0
2.6178133487701416,-0.07132549583911896,1.5249997249105445,-0.005876404047012329,0.0
2.615889310836792,-0.06518302857875824,1.496608064863968,-0.005876404047012329,0.0
2.6183788776397705,-0.0566803440451622,1.5187643158784896,-0.005876404047012329,0.0
2.6182336807250977,-0.04981888830661774,1.5233416672268112,-0.005876404047012329,0.0
2.61684513092041,-0.04390052706003189,1.5253267932334835,-0.005876404047012329,0.0
2.616837501525879,-0.035897038877010345,1.5287457756185845,-0.005876404047012329,0.0
2.6167492866516113,-0.028813406825065613,1.5268068685921488,-0.005876404047012329,0.0
2.6167938709259033,-0.021233318373560905,1.526008280160082,-0.005876404047012329,0.0
2.6168017387390137,-0.013710948638617992,1.5227160503407868,-0.005876404047012329,0.0
2.61674165725708,-0.006475026719272137,1.5204400882626767,-0.005876404047012329,0.0
2.614992141723633,-0.0003262656391598284,1.5306714690304613,-0.005876404047012329,0.0
2.616400718688965,0.00868559256196022,1.5182644652969834,-0.005876404047012329,0.0
2.6160404682159424,0.015286832116544247,1.5219512143530045,-0.005876404047012329,0.0
2.6156201362609863,0.023292455822229385,1.5190948028674618,-0.005876404047012329,0.0
2.6137208938598633,0.028782419860363007,1.5274168105873474,-0.005876404047012329,0.0
2.6141104698181152,0.03663066029548645,1.5440042439220658,-0.005876404047012329,0.0
2.614197015762329,0.04515466466546059,1.5256765263422176,-0.005876404047012329,0.0
2.6146669387817383,0.052892353385686874,1.5196237036963707,-0.005876404047012329,0.0
2.614184856414795,0.060366809368133545,1.5212103849063656,-0.005876404047012329,0.0
2.613624334335327,0.06775897741317749,1.5274562178407605,-0.005876404047012329,0.0
2.6122992038726807,0.07459382712841034,1.5418062883523662,-0.005876404047012329,0.0
2.613283395767212,0.08219887316226959,1.5332652991550169,-0.005876404047012329,0.0
2.613189220428467,0.09114670753479004,1.5320939260378559,-0.005876404047012329,0.0
2.6138980388641357,0.09852379560470581,1.5247776675280391,-0.005876404047012329,0.0
2.61392879486084,0.10622112452983856,1.524164000494393,-0.005876404047012329,0.0
2.6137290000915527,0.11318366229534149,1.5260236169856554,-0.005876404047012329,0.0
2.6135637760162354,0.12090715765953064,1.5175819982602832,-0.005876404047012329,0.0
2.6130833625793457,0.12842993438243866,1.5198110262681193,-0.005876404047012329,0.0
2.613370656967163,0.13672742247581482,1.5243205525721735,-0.005876404047012329,0.0
2.6124484539031982,0.14504683017730713,1.5433031071839152,-0.005876404047012329,0.0
2.6124484539031982,0.14504683017730713,1.5433031071839152,-0.005876404047012329,0.0
2.6133415699005127,0.1606658399105072,1.5236901169826746,-0.005876404047012329,0.0
2.613009452819824,0.16858136653900146,1.5249172423317532,-0.005876404047012329,0.0
2.612130880355835,0.17659401893615723,1.529098153728302,-0.005876404047012329,0.0
2.6111764907836914,0.18418529629707336,1.5327703692852523,-0.005876404047012329,0.0
2.6114084720611572,0.19223564863204956,1.5267804472643949,-0.005876404047012329,0.0
2.6109728813171387,0.200706347823143,1.527592823361493,-0.005876404047012329,0.0
2.611006259918213,0.20827732980251312,1.5186745538255315,-0.005876404047012329,0.0
2.611802101135254,0.21640482544898987,1.529472457837367,-0.005876404047012329,0.0
2.611802101135254,0.21640482544898987,1.529472457837367,-0.005876404047012329,0.0
2.603909969329834,0.23052862286567688,1.4881840823842256,-0.005876404047012329,0.0
2.610053777694702,0.24041469395160675,1.5292447122537336,-0.005876404047012329,0.0
2.610053777694702,0.24041469395160675,1.5292447122537336,-0.005876404047012329,0.0
2.608874797821045,0.2558665871620178,1.5261199642083096,-0.005876404047012329,0.0
2.6089560985565186,0.2634914517402649,1.5238542952829721,-0.005876404047012329,0.0
2.609767436981201,0.27390018105506897,1.5340094980851926,-0.005876404047012329,0.0
2.609767436981201,0.27390018105506897,1.5340094980851926,-0.005876404047012329,0.0
2.6092281341552734,0.28939998149871826,1.5175621611186176,-0.005876404047012329,0.0
2.608755111694336,0.2983297109603882,1.5278831644912272,-0.005876404047012329,0.0
2.6084866523742676,0.3065120577812195,1.5202847714464849,-0.005876404047012329,0.0
2.6083364486694336,0.3140175938606262,1.5198831339733365,-0.00593829333782196,0.0
2.608665704727173,0.3230934143066406,1.5267929423439377,-0.00593829333782196,0.0
2.608489513397217,0.33123913407325745,1.5295561324840956,-0.00593829333782196,0.0
2.607807159423828,0.3397315740585327,1.5276510185029644,-0.00593829333782196,0.0
2.6079225540161133,0.34842991828918457,1.527356856839864,-0.00593829333782196,0.0
2.6086113452911377,0.3570523262023926,1.5327977506355286,-0.00593829333782196,0.0
2.608661651611328,0.365373820066452,1.5243078564313308,-0.00593829333782196,0.0
2.607879400253296,0.37275898456573486,1.5194430713471454,-0.00593829333782196,0.0
2.607386350631714,0.3802465498447418,1.520836448118754,-0.00593829333782196,0.0
2.6082003116607666,0.38966161012649536,1.5271508746052926,-0.00593829333782196,0.0
2.6070268154144287,0.3983558416366577,1.5390960518169328,-0.006000000238418579,0.0
2.607304573059082,0.4065133035182953,1.5181688145189578,-0.006000000238418579,0.0
2.607454299926758,0.4155294597148895,1.5275092547874896,-0.006000000238418579,0.0
2.606464385986328,0.42277470231056213,1.5172350774104646,-0.006000000238418579,0.0
2.606058359146118,0.4312979578971863,1.5209596157071321,-0.006000000238418579,0.0
2.6056461334228516,0.4393047094345093,1.5206414822423704,-0.006000000238418579,0.0
2.6043553352355957,0.44695302844047546,1.5232258826238174,-0.006000000238418579,0.0
2.6041951179504395,0.4548639953136444,1.517724040832168,-0.006000000238418579,0.0
2.59952449798584,0.4617278277873993,1.5077165513686241,-0.006000000238418579,0.0
2.6024155616760254,0.47322818636894226,1.5366275200490496,-0.006000000238418579,0.0
2.6028029918670654,0.48136159777641296,1.5342576346107388,-0.00593829333782196,0.0
2.6053528785705566,0.49010133743286133,1.5368598956670605,-0.00593829333782196,0.0
2.6053528785705566,0.49010133743286133,1.5368598956670605,-0.00593829333782196,0.0
2.605032205581665,0.5090671181678772,1.5223900414075422,-0.00593829333782196,0.0
2.603531837463379,0.5167415738105774,1.5180337357880764,-0.00593829333782196,0.0
2.602766513824463,0.5247296094894409,1.5177799538174908,-0.00593829333782196,0.0
2.6030185222625732,0.5340422987937927,1.5288457439114167,-0.00593829333782196,0.0
2.603468418121338,0.543007493019104,1.5375045391137039,-0.00593829333782196,0.0
2.6030919551849365,0.5510672926902771,1.5182314706167515,-0.00593829333782196,0.0
2.6027114391326904,0.5597795844078064,1.544314673844259,-0.00593829333782196,0.0
2.602829933166504,0.568776547908783,1.5332069049781532,-0.006000000238418579,0.0
2.6041958332061768,0.5778504014015198,1.520973625702428,-0.006000000238418579,0.0
2.6039817333221436,0.5856221318244934,1.5277028344229866,-0.006000000238418579,0.0
2.6031293869018555,0.5941899418830872,1.5268361059898594,-0.006000000238418579,0.0
2.5945358276367188,0.6062367558479309,1.4444726847522793,-0.006000000238418579,0.0
2.6030101776123047,0.6113880276679993,1.5303184098441793,-0.006000000238418579,0.0
2.600968360900879,0.6191019415855408,1.5206116223485315,-0.006000000238418579,0.0
2.6021382808685303,0.6288322806358337,1.5261716181633391,-0.006000000238418579,0.0
2.6027379035949707,0.6377004384994507,1.5248043535005626,-0.006000000238418579,0.0
2.6022369861602783,0.6464213728904724,1.5241982166523675,-0.006000000238418579,0.0
2.6020193099975586,0.6547655463218689,1.5288952424192477,-0.006000000238418579,0.0
2.6016957759857178,0.6635580062866211,1.5258148404160716,-0.006000000238418579,0.0
2.599547863006592,0.6707764863967896,1.5410683126788909,-0.006000000238418579,0.0
2.5994579792022705,0.6803826093673706,1.5159199245810573,-0.006000000238418579,0.0
2.5993926525115967,0.6891183257102966,1.5336235542697,-0.006000000238418579,0.0
2.5990383625030518,0.6973874568939209,1.523101246489866,-0.006000000238418579,0.0
2.5994086265563965,0.7067396640777588,1.518717502322226,-0.006000000238418579,0.0
2.599152088165283,0.7156780958175659,1.534985318651749,-0.006000000238418579,0.0
2.5996575355529785,0.7247534394264221,1.5243391625284373,-0.006000000238418579,0.0
2.594775676727295,0.7315557599067688,1.5485488113108365,-0.006000000238418579,0.0
2.5966734886169434,0.7410411834716797,1.5285804526160955,-0.006000000238418579,0.0
2.5947084426879883,0.7505699992179871,1.4873162095945547,-0.006000000238418579,0.0
2.597968339920044,0.7584856748580933,1.5342689698393077,-0.006000000238418579,0.0
2.5970215797424316,0.7661417722702026,1.5368660538896037,-0.006000000238418579,0.0
2.5958142280578613,0.7753980159759521,1.5466064097647432,-0.006000000238418579,0.0
2.597621440887451,0.7849348187446594,1.534122530190136,-0.006000000238418579,0.0
2.596515417098999,0.794427752494812,1.5404596679780924,-0.006000000238418579,0.0
2.5951597690582275,0.8007749915122986,1.5384054611233697,-0.006000000238418579,0.0
2.592679500579834,0.809558093547821,1.5193891652561786,-0.006000000238418579,0.0
2.5964114665985107,0.8201321363449097,1.5372631106233596,-0.006000000238418579,0.0
2.596909284591675,0.8284279108047485,1.539761232637857,-0.006000000238418579,0.0
2.596362590789795,0.8380311727523804,1.5367583126743993,-0.006000000238418579,0.0
2.5962650775909424,0.8472325801849365,1.5333397891002551,-0.006000000238418579,0.0
2.596080780029297,0.8556745648384094,1.5334829103850196,-0.006000000238418579,0.0
2.594313859939575,0.8634549379348755,1.5251257132503566,-0.006000000238418579,0.0
2.594667434692383,0.8725242018699646,1.5465100357529662,-0.006000000238418579,0.0
2.5937414169311523,0.8815564513206482,1.5337391643910334,-0.006000000238418579,0.0
2.593419313430786,0.8900757431983948,1.541589025254441,-0.006000000238418579,0.0
2.5939600467681885,0.9002076387405396,1.522982976369304,-0.006000000238418579,0.0
2.5935349464416504,0.9085974097251892,1.535888074409574,-0.006000000238418579,0.0
2.5935862064361572,0.9176013469696045,1.5308394025008372,-0.006000000238418579,0.0
2.5914688110351562,0.9251080751419067,1.5299857834305177,-0.006000000238418579,0.0
2.59089732170105,0.9340115785598755,1.5501334275124188,-0.006000000238418579,0.0
2.5929884910583496,0.943060040473938,1.5296656783618878,-0.006000000238418579,0.0
2.591574192047119,0.952382504940033,1.5302175447749577,-0.006000000238418579,0.0
2.5901362895965576,0.9589574337005615,1.5313002627769492,-0.006000000238418579,0.0
2.5902507305145264,0.9693843126296997,1.5489062961420579,-0.006000000238418579,0.0
2.5906789302825928,0.978907585144043,1.521666879091084,-0.006000000238418579,0.0
2.5909583568573,0.9883630871772766,1.5302814297554654,-0.006000000238418579,0.0
2.590142011642456,0.9962449669837952,1.5455374290946065,-0.006000000238418579,0.0
2.5896337032318115,1.0035871267318726,1.5264874781521822,-0.006000000238418579,0.0
2.5895707607269287,1.013507604598999,1.5395993733083535,-0.006000000238418579,0.0
2.589970827102661,1.0220667123794556,1.5320943040491457,-0.006000000238418579,0.0
2.5894696712493896,1.0318022966384888,1.5283745451926274,-0.006000000238418579,0.0
2.587874412536621,1.0388689041137695,1.5298261523306769,-0.006000000238418579,0.0
2.5895001888275146,1.0492366552352905,1.5314772786270052,-0.006000000238418579,0.0
2.5880768299102783,1.0634193420410156,1.5747178285323538,-0.006000000238418579,0.0
2.5880768299102783,1.0634193420410156,1.5747178285323538,-0.006000000238418579,0.0
2.586435556411743,1.0757828950881958,1.536472202326435,-0.006000000238418579,0.0
2.586435556411743,1.0757828950881958,1.536472202326435,-0.006000000238418579,0.0
2.585658311843872,1.0919688940048218,1.5235221434639103,-0.006000000238418579,0.0
2.586477279663086,1.1018038988113403,1.526228588485859,-0.006000000238418579,0.0
2.5854363441467285,1.1102238893508911,1.5287123793462885,-0.006000000238418579,0.0
2.5841615200042725,1.1183804273605347,1.5340251809134615,-0.006000000238418579,0.0
2.5843191146850586,1.1274443864822388,1.5301229204955804,-0.006000000238418579,0.0
2.586064338684082,1.137182354927063,1.5407760280971954,-0.006000000238418579,0.0
2.5841689109802246,1.1457936763763428,1.5250992109322457,-0.006000000238418579,0.0
2.585766315460205,1.1545640230178833,1.5365460733927128,-0.006000000238418579,0.0
2.584317445755005,1.1622594594955444,1.530517349684887,-0.006000000238418579,0.0
2.5849335193634033,1.1717196702957153,1.5389536523740746,-0.006000000238418579,0.0
2.585200548171997,1.1812983751296997,1.5248231772810399,-0.006000000238418579,0.0
2.585200548171997,1.1812983751296997,1.5248231772810399,-0.006000000238418579,0.0
2.5830237865448,1.1987340450286865,1.52390310385077,-0.006000000238418579,0.0
2.5830237865448,1.1987340450286865,1.52390310385077,-0.006000000238418579,0.0
2.5820858478546143,1.2165641784667969,1.5235348025022295,-0.006000000238418579,0.0
2.5812954902648926,1.223440170288086,1.5385816143562012,-0.006000000238418579,0.0
2.582165479660034,1.233425259590149,1.5309612321938655,-0.006000000238418579,0.0
2.5823099613189697,1.2435402870178223,1.5402695521863081,-0.006000000238418579,0.0
2.5776774883270264,1.249149203300476,1.5509265224589346,-0.006000000238418579,0.0
2.5809998512268066,1.2597835063934326,1.5299622588212598,-0.006000000238418579,0.0
2.5830183029174805,1.2697478532791138,1.5423917381416392,-0.006000000238418579,0.0
2.5819005966186523,1.2796133756637573,1.5250969141570379,-0.006000000238418579,0.0
2.5794358253479004,1.289029836654663,1.5400523864715245,-0.006000000238418579,0.0
2.5793142318725586,1.2954305410385132,1.5288498836634594,-0.006000000238418579,0.0
2.5793142318725586,1.2954305410385132,1.5288498836634594,-0.006000000238418579,0.0
2.5794684886932373,1.313319206237793,1.5404781621923482,-0.006000000238418579,0.0
2.6646597385406494,1.3248869180679321,1.1590279565710895,-0.006000000238418579,0.0
2.57830548286438,1.3314237594604492,1.5278174437109426,-0.006000000238418579,0.0
2.578646421432495,1.3410286903381348,1.5310604471234004,-0.006000000238418579,0.0
2.5761783123016357,1.3519871234893799,1.4922670592920106,-0.006000000238418579,0.0
2.575347423553467,1.3580708503723145,1.5060958992495244,-0.006000000238418579,0.0
2.5736262798309326,1.3634663820266724,1.560609344992013,-0.006000000238418579,0.0
2.577176570892334,1.3749418258666992,1.5469715207674193,-0.006000000238418579,0.0
2.577233076095581,1.3840478658676147,1.5266112598943813,-0.006000000238418579,0.0
2.5791258811950684,1.395188331604004,1.5228704657658747,-0.006000000238418579,0.0
2.577653408050537,1.401702880859375,1.5417165217652098,-0.006000000238418579,0.0
2.577232599258423,1.4114066362380981,1.5420908476092416,-0.006000000238418579,0.0
2.575756311416626,1.4184949398040771,1.5304667723072294,-0.006000000238418579,0.0
